store,websites,attribute_set,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,price,special_price,weight,msrp,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,image_label,small_image_label,thumbnail_label,product_code,availability,order_quantity,price_per_pcs,price_per_sqft,sqft_needed,msrp_price,your_price,color,product_attribute_code,also_known_as,country_of_origin,product_description,usage_place,where_to_use,dimension,thickness,material,color_of_material,surface_finish,pieces_per_box,sqft_per_piece,sqft_per_box,sqft_per_crate,weight_per_piece,weight_per_box,weight_per_crate,product_price_is,review_heading,reviewer_name,ease_of_order,value_for_money,how_timely_item_shipped,how_well_updated_of_order,reviewer_comments,automatic_bot_code,product_tag,pieces_per_crate,flooring,countertops,wall_backsplash,freezing_clmate,exterior_usaage,reviewer_post_date
,,,,SIN-18-DBLBWL-5050-V2,,Double Bowl 50/50 18 Gauge Sink Satin,,,,,,,,,,,,,,,1,$146.67 ,16,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,Double Bowl 50/50 18 Gauge Sink Satin,,,,,,,,,,,,,,$220.00 ,$169.23 ,,,,China,,,"Kitchen, Bar",32.25X18.5,,Sinks,,Satin,1,N/A,N/A,,13.6,13.6,"1,169.60",Piece,,,,,,,,,,86,,,,,,
,,,,SIN-18-DBLBWL-6040-V2,,Double Bowl 60/40 18 Gauge Sink Satin,,,,,,,,,,,,,,,1,$146.67 ,16,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,Double Bowl 60/40 18 Gauge Sink Satin,,,,,,,,,,,,,,$220.00 ,$169.23 ,,,,China,,,"Kitchen, Bar",31.5X20.5,,Sinks,,Satin,1,N/A,N/A,,13.6,13.6,"1,169.60",Piece,,,,,,,,,,86,,,,,,
