"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","price","special_price","weight","msrp","status","is_recurring","visibility","tax_class_id","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","image_label","small_image_label","thumbnail_label","product_code","availability","order_quantity","price_per_pcs","price_per_sqft","sqft_needed","msrp_price","your_price"
"admin","base","Default","simple","11","1","0","Giallo Fantasia","","","","","","giallo-fantasia","giallo-fantasia.html","","No layout updates","Product Info Column","China","Use config","Use config","No","3.6900","","5.0000","","Enabled","No","Catalog, Search","Taxable Goods","Granite","Granite","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2015-04-11 06:18:31","","1","0","1","1","1","0.0000","1","0","0","1","1","Giallo Fantasia","0","simple","","","","","","","","","","","","",""
"admin","base","Natural Stone Set","simple","11","5","0","Ramon Gold","","","/4/x/4x4_durango_cream_tumbled_1_1.jpg","/4/x/4x4_durango_cream_tumbled_1_1.jpg","/4/x/4x4_durango_cream_tumbled_1_1.jpg","ramon-gold","ramon-gold.html","","No layout updates","Product Info Column","Antigua and Barbuda","Use config","Use config","No","3.6900","","6.0000","","Enabled","No","Catalog, Search","Taxable Goods","Ramon Gold","Ramon Gold","","","","","","","","","100.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Ramon Gold","0","simple","","","","","","876","in Stock","7","87","87","68","908","54"
"admin","base","Natural Stone Set","simple","11","87","0","Durango Cream","","","/c/o/copper66.jpg","/c/o/copper66.jpg","/c/o/copper66.jpg","durango-cream","durango-cream.html","","No layout updates","Product Info Column"," ","Use config","Use config","No","3.6900","","76.0000","","Enabled","No","Catalog, Search","Taxable Goods","Durango Cream","Durango Cream","","","","","","","","","99.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Durango Cream","0","simple","","","","","","","","","","","","",""
